"","advertiser_id","advertiser_name","public_ids_list","regions","elections","total_creatives","spend_usd","spend_eur","spend_inr","spend_bgn","spend_hrk","spend_czk","spend_dkk","spend_huf","spend_pln","spend_ron","spend_sek","spend_gbp"
"1","AR488306308034854912","TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE","FEC ID C00618371","US","US-Federal",30635,8933800,7928250,630692000,15506750,58802400,203809000,59175000,NA,34120700,37426125,83659500,7000550
"2","AR230475229367894016","SENATE LEADERSHIP FUND","FEC ID C00571703","US","US-Federal",2204,5056000,4384550,368894750,8575575,32559600,112929000,32706000,1419667500,18869100,20435250,45509250,3879050
"3","AR458000056721604608","MIKE BLOOMBERG 2020 INC","EIN ID 84-3637738","US","US-Federal",207,4564200,4143500,327009250,8103875,30812000,105752000,30959000,1389255000,17849000,19812375,43788750,3540150
"4","AR470291909525372928","CONGRESSIONAL LEADERSHIP FUND","FEC ID C00504530","US","US-Federal",1841,4183300,3630200,303042500,7100200,26956000,93473000,27077500,1176825000,15621100,16916400,37887000,3227300
"5","AR432709227698454528","TOM STEYER 2020","EIN ID 84-2308418","US","US-Federal",1009,4109600,3705100,291296250,7246750,27453200,95253000,27661500,1221945000,15991700,17573100,39636750,3300200
"6","AR105500339708362752","DONALD J. TRUMP FOR PRESIDENT, INC.","FEC ID C00580100","US","US-Federal",5101,3986100,3566250,281481250,6975425,26450900,91558000,26626000,1167870000,15365100,16851900,37764000,3165300
"7","AR101121809528651776","PETE FOR AMERICA, INC.","FEC ID C00697441","US","US-Federal",3456,3886000,3491100,274320250,6828325,25912500,89513000,26072000,1148295000,14976900,16588425,37258500,3053950
"8","AR120847323008860160","DEDICATEDEMAILS.COM","EIN ID 45-4445561","US","US-Federal",3586,3876400,3449750,273844750,6747325,25571400,88772000,25751000,1121827500,14847000,16292775,36446250,3061300
"9","AR157291735423123456","NRCC","FEC ID C00075820","US","US-Federal",1522,3663200,3207500,264637000,6273500,23807400,82685000,23930500,1038937500,13812100,15013725,33417750,2829900
"10","AR140403236820484096","Need to Impeach","EIN ID 38-4081998","US","US-Federal",2156,3603800,3167850,255481000,6195875,23510500,81521000,23641500,1018335000,13608800,14914650,33094500,2780950
"11","AR485896728302583808","WARREN FOR PRESIDENT, INC.","FEC ID C00693234","US","US-Federal",14492,3300500,2960100,232558750,5789775,21943300,76012000,22102500,969817500,12729100,14044800,31508250,2614300
"12","AR329053043867779072","PRIORITIES USA ACTION & SMP","FEC ID C00484642, FEC ID C00495861","US","US-Federal",838,2743700,2384400,198951250,4663575,17707800,61461000,17785000,771735000,10259500,11105325,24791250,2112250
"13","AR194446432348930048","NRSC","FEC ID C00027466","US","US-Federal",1060,2681600,2322350,194070000,4542225,17245700,59808000,17322500,752175000,9981200,10815975,24180000,2061800
"14","AR383080296477622272","BERNIE 2020","FEC ID C00696948","US","US-Federal",708,2289900,2058000,162683750,4025175,15277300,52789000,15367500,676140000,8865500,9783675,21949500,1799500
"15","AR271344076572327936","INDEPENDENCE USA PAC","FEC ID C00532705","US","US-Federal",650,2208900,1933050,161683750,3780875,14368000,49931000,14421000,624127500,8330000,9013425,20004000,1700600
"16","AR492809907662225408","BETO FOR TEXAS","FEC ID C00501197","US","US-Federal",222,1944100,1685150,140669000,3295950,12510200,43418000,12568500,545377500,7246600,7848150,17499000,1492950
"17","AR312665922567405568","ONE NATION","EIN ID 27-1937961","US","US-Federal",380,1747500,1510100,122649500,2953525,11206100,38909000,11259500,489727500,6493400,7020600,15806250,1349350
"18","AR50710026028843008","KAMALA HARRIS FOR THE PEOPLE","FEC ID C00694455","US","US-Federal",2183,1700000,1516500,119117250,2966350,11235000,38901000,11321500,493020000,6507600,7191000,16066500,1343550
"19","AR541269233389010944","PRIORITIES USA","EIN ID 47-4596232","US","US-Federal",1239,1679700,1519500,119517750,2971975,11267900,39152000,11345500,503535000,6574000,7214475,16272000,1339850
"20","AR276637125548441600","REPUBLICAN NATIONAL COMMITTEE","FEC ID C00003418","US","US-Federal",7540,1433200,1264200,103698750,2472675,9397300,32599000,9433500,409455000,5444100,5920350,13185000,1111650
"21","AR418326790973423616","EVERYTOWN FOR GUN SAFETY ACTION FUND, INC. PAC (EVERYTOWN PAC)","FEC ID C00640086","US","US-Federal",78,1368000,1199700,99962750,2346475,8918100,30991000,8950500,387495000,5177400,5593125,12415500,1058150
"22","AR55282894888763392","BIDEN FOR PRESIDENT","EIN ID 83-4318873","US","US-Federal",197,1315400,1179250,92206750,2306625,8745800,30253000,8805500,384375000,5053900,5600925,12573000,1031550
"23","AR424466463902924800","AMERICANS FOR PROSPERITY ACTION INC","EIN ID 83-1800586","US","US-Federal",246,1298400,1146850,94366750,2243100,8515700,29607000,8558000,374212500,4951400,5377125,12021750,1012800
"24","AR89517838687010816","PRIORITIES USA ACTION & HOUSE MAJORITY PAC","FEC ID C00495028, FEC ID C00495861","US","US-Federal",3122,1263700,1100000,92582250,2151475,8169700,28389000,8206000,355845000,4735000,5129625,11400750,971350
"25","AR64967943062028288","RICK SCOTT FOR FLORIDA","FEC ID C00676965","US","US-Federal",692,1163000,1007550,82273750,1970625,7474300,25948000,7512500,325672500,4333100,4691175,10465500,894250
"26","AR248489627877376000","DCCC","FEC ID C00000935","US","US-Federal",488,1059900,921350,77424000,1802025,6841900,23741000,6873000,298522500,3966300,4296675,9575250,815900
